state,year,tourism_receipts_rm_million,tourism_receipts_rm,tourism_receipts_growth_pct,domestic_visitors_000,domestic_visitors,domestic_visitors_growth_pct,tourism_trips_000,tourism_trips_growth_pct,avg_receipts_per_visitor_rm,avg_receipts_per_trip_rm,average_length_of_stay,population_000,tourism_intensity_visitors_per_resident
W.P. Labuan,2020,60.0,60000000.0,-84.58,108.0,108000.0,-79.47,109.0,-85.88,562.0,553.0,1.57,95.1,1.135646687697161
W.P. Labuan,2021,29.0,29000000.0,-51.43,54.0,54000.0,-49.88,54.0,-50.71,545.0,545.0,2.52,96.0,0.5625
W.P. Labuan,2022,136.0,136000000.0,364.27,244.0,244000.0,352.13,263.0,388.22,559.0,518.0,3.67,96.9,2.5180598555211557
W.P. Labuan,2023,194.0,194000000.0,42.39,331.0,331000.0,35.97,373.0,41.68,586.0,521.0,2.89,99.0,3.3434343434343434
W.P. Labuan,2024,265.0,265000000.0,36.33,450.0,450000.0,35.69,482.0,29.24,588.0,549.0,2.84,100.8,4.464285714285714
W.P. Labuan,2025,379.0,379000000.0,43.36,604.0,604000.0,34.41,681.0,41.35,628.0,557.0,2.51,100.9,5.986124876114965
W.P. Putrajaya,2019,849.0,849000000.0,-15.81,1949.0,1949000.0,3.01,2637.0,1.75,435.0,322.0,3.04,103.7,18.79459980713597
W.P. Putrajaya,2020,142.0,142000000.0,-83.28,451.0,451000.0,-76.85,456.0,-82.71,315.0,311.0,1.98,109.2,4.13003663003663
W.P. Putrajaya,2021,68.0,68000000.0,-52.18,223.0,223000.0,-50.57,234.0,-48.63,304.0,290.0,2.23,115.2,1.9357638888888888
W.P. Putrajaya,2022,456.0,456000000.0,572.01,1306.0,1306000.0,485.55,1551.0,562.28,349.0,294.0,2.68,117.0,11.162393162393162
W.P. Putrajaya,2023,670.0,670000000.0,46.87,1900.0,1900000.0,45.53,1965.0,26.66,352.0,341.0,2.08,118.8,15.993265993265993
W.P. Putrajaya,2024,937.0,937000000.0,39.9,2557.0,2557000.0,34.54,2711.0,38.0,366.0,346.0,2.14,120.3,21.255195344970907
W.P. Putrajaya,2025,1236.0,1236000000.0,31.9,3146.0,3146000.0,23.06,3479.0,28.34,393.0,355.0,2.5,120.7,26.064623032311516
